X,Y,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049
29.41554,-3.36298,5.477819383391121,4.2121584989138965,4.415338528890921,2.6122721239057176,2.1863743771054467,1.7577961549756638,1.4851322478458397,1.28805774500826,1.0897025706243575,0.939238555461073,0.8753241103818155,0.8829187904821003,0.8658828806100893,0.8545653181077045,0.8539696569233685,0.8651383041296693,0.8747880153159132,0.8783619824219294,0.8760984699214525,0.8763665174544036,0.8831570549558346,0.8923004541353928,0.8788682944286151,0.8932237289711136,0.8115883636578589,5.472637131087398,0.6935283169224552,-0.4849277701679727,-0.4677727280590947,-0.274599805978916,-0.1320580845673008,-0.04107083865997016,0.014325651483281847,0.05566453767620324,0.12747149344791328,0.1716695533256477,0.21789286123012466,0.2507733586054743,0.2805862008814932,0.31159036552618424,0.3449473918490027,0.36936950040678046,0.39557859251756633,0.41446105206101896,0.43653029894066936,0.45252380174009205,0.47688634417943626,0.4942200846436151,0.8115883636578589
33.79772,-3.37697,6.040183107522779,4.465284719197498,4.448159460147837,2.785341481014555,2.362153992603013,1.9470079301800078,1.688342060882081,1.501840544066466,1.29615873711523,1.105725856482997,0.9876658097475933,0.929171881445794,0.8668359385050269,0.8303814740236611,0.8142688389873711,0.823918550173615,0.8244844282987343,0.8254374861936719,0.818974562343626,0.8160856055995961,0.8194510912910947,0.8256161845489727,0.8142688389873711,0.8290114532996883,0.7738830106893875,6.033749966731951,0.7662883305891027,-0.479775300923466,-0.4688449181908997,-0.2751061179856016,-0.1311645927907967,-0.0423217271470759,0.015308492437436271,0.05634954803818965,0.12767997486243088,0.17119302437817885,0.21652284050615173,0.24845027998656366,0.27725049824921133,0.30718247276209754,0.3391396953017262,0.36198330172101345,0.38673302393017606,0.40412633051278857,0.4244085938394308,0.43834706555289427,0.4607737091431463,0.4757545879291978,0.7738830106893875
38.18675,-3.35304,6.437042371586668,4.542512191746666,4.229938985266327,2.8526214117853113,2.4305358965647907,2.026022386282184,1.7851072202774714,1.6190368820845824,1.431254693722645,1.2469869063482897,1.1216002270455527,1.0358250165011624,0.9245852903264064,0.8465238921191679,0.7967564001678914,0.7871662551000812,0.7807628973684686,0.7741510582223387,0.765513971049466,0.7614039088775473,0.7598254067390569,0.7661691983522356,0.7517541976913035,0.7629824110160378,0.7207798161058291,6.434451245434807,0.7709940539453576,-0.47989443316033314,-0.46553899861783454,-0.2709067066360325,-0.12720344591496205,-0.03859884474497563,0.017244391286528427,0.0570941245186098,0.12699496450044442,0.1691379932922195,0.2130084395185691,0.2433275938012737,0.2707280082807317,0.29899213147747694,0.3291028043456639,0.35018921027115985,0.3728243352759295,0.38825195995023304,0.4061813615987479,0.4175287071603495,0.43757270601325743,0.44942636358154464,0.7207798161058291
42.57527,-3.29378,6.786010476429939,4.644638301801081,3.852289794397276,2.930593460814899,2.4877789363794847,2.0993780611331676,1.8684402199660837,1.7143128885191325,1.537044120060726,1.366506322985317,1.2554155121066448,1.1747034216291108,1.0583707923282817,0.9513900436215283,0.8564118677791462,0.7977094580628292,0.7641737333847098,0.7410322963732546,0.7239666034420269,0.7186056527830026,0.7177121610064985,0.7190821817304714,0.7026419330427967,0.7130362207094606,0.6666342144496827,6.781334536132901,0.7526179064085906,-0.48385558003616796,-0.4607737091431463,-0.26250788393689434,-0.11850679262365578,-0.030021323690536617,0.024571023853861784,0.06340813307257179,0.13244526433711923,0.1736650182931734,0.21619522685476691,0.24508479429506497,0.2714428017019349,0.29821777193784005,0.32666059348988613,0.34601958198080757,0.3668379403733522,0.3802998831393468,0.39557859251756633,0.4044539441641734,0.42137072179931695,0.42965041226158796,0.6666342144496827
46.96278,-3.20029,6.636082556332557,4.623194499164983,3.4721686096132296,2.9503098460164225,2.503444825527523,2.121566440249685,1.9051925150396178,1.7576770227387963,1.5933043189212655,1.4370028241514876,1.3455986154151218,1.2802248004342411,1.1811067793607235,1.0839842232547316,0.9891847457676503,0.9075195973951788,0.8341341394849782,0.7687603245040975,0.7121725119921734,0.6744671590237018,0.6557931808947668,0.651266155893813,0.6258909894410974,0.6332771881268644,0.5991458022644092,6.635754942681172,0.7188141341975203,-0.48418319368755264,-0.4488902685156422,-0.24830136469047956,-0.10447897173254195,-0.018405930595983673,0.03505466069817618,0.07219413554152847,0.139414500193851,0.17893661977454745,0.21991810925686722,0.24681221172963957,0.2714725847611517,0.2963414392071816,0.32275901273248503,0.3400331870782303,0.3582604193189133,0.368833405340878,0.3809848935013333,0.38655432557487535,0.398795162912981,0.40239891307821407,0.5991458022644092
51.35062,-3.07206,5.8766443293633195,4.392465139412417,3.529381866368707,2.906111786138688,2.4819712398322085,2.113286749787414,1.9007548392163143,1.764527126358661,1.6091191233653872,1.4597272983339076,1.371152480223138,1.3131350808688074,1.2218500043693088,1.1306244939882437,1.0399648617322979,0.9642265421439701,0.8878032121936557,0.8140603575728534,0.7410025133140379,0.6838786057362113,0.6423014550695555,0.6183260924000297,0.5775233012730108,0.5763617619635554,0.5439875765948915,5.871432294000379,0.6222276731574308,-0.4967814277362601,-0.44147428677065853,-0.23635835794454202,-0.09375707041449326,-0.005718347369626063,0.043989578463216744,0.07969946646416257,0.14563915957016255,0.1837019092492357,0.2233431610667994,0.24886724281559888,0.27209802900470453,0.29547773048989423,0.32019766963984003,0.335714643491794,0.35200597688338475,0.3606132809970406,0.37038212442015167,0.3732412981049647,0.382533612580607,0.38238469728452296,0.5439875765948915
55.73662,-2.9106,5.402706508046346,3.823370443897761,4.089392728822237,2.7630041866019535,2.434914006269661,2.0849034943538016,1.8858335265486963,1.759672487706322,1.6070938753386448,1.4633012654399238,1.3813085034160675,1.3281755257732923,1.2369797984514443,1.1487325939920596,1.0612597490723117,0.9849853344180812,0.9111531306196285,0.8326449865241381,0.7559536090408725,0.6907584924152926,0.6426886348393739,0.608199852266317,0.5611724017629864,0.5511057277477073,0.5176295691880216,5.396362716433167,0.4992832047104715,-0.5096179262587018,-0.4297695444984552,-0.21705893557205416,-0.07603615018049592,0.014861746549184306,0.05923850478221954,0.09378685347371003,0.15835652585573715,0.1951981701069214,0.23364809955581303,0.2580999911728076,0.27972249216420597,0.30200022045837394,0.32546927112121404,0.3393779597754607,0.3544481877391626,0.3615961219511951,0.3697268971173821,0.37070973807153657,0.37803637063886986,0.37586220731604336,0.5176295691880216
60.12075,-2.71424,5.605320659898251,3.4200780390430428,3.903278391776441,2.6143867211101104,2.374990491125455,2.0443389677005177,1.854978277200089,1.7376925900043223,1.5935128003357828,1.450792380568867,1.3758284205201758,1.3251972198516122,1.2405537655574603,1.1585312204743874,1.0746919087790894,0.9969581242232356,0.9236024493722519,0.8465834582376015,0.770189911346504,0.7012421292596069,0.6469476123073766,0.6051917632854199,0.551135510806924,0.5349335265929837,0.4941009524067479,5.601389296081633,0.34932550155387254,-0.5144725649110405,-0.40752159926350395,-0.19049244675066665,-0.050839682083081275,0.03788405132377235,0.0800568631747642,0.11305649278698095,0.17586896467521676,0.21104275761026012,0.24806310021674519,0.2707280082807316,0.29118896996267474,0.31221580976973706,0.33437440582703787,0.3469726398757452,0.360553714878607,0.3662422791890162,0.37282433527592945,0.37219889103237663,0.3777683231059186,0.3732412981049647,0.4941009524067479
64.50502,-2.48323,5.248370695184877,3.1889912825798747,3.5378998213047117,2.6423827967739046,2.2978225846947202,2.0034766104550648,1.8249867365687693,1.7180357709212328,1.5810634815831597,1.4430190021132816,1.3736244741381327,1.3273416001152218,1.2446340446701623,1.1669598262327425,1.0817802768726883,1.0079182900150188,0.9349200118746366,0.8573351426148671,0.7798991886511815,0.707705053109653,0.6503130979988753,0.6011412672319348,0.5411879690285122,0.5189102407343441,0.4718530071717967,5.2443797652498265,0.23510746945743632,-0.5245690219855365,-0.39134939810878044,-0.1705080140161924,-0.033654856914986396,0.053341459057292664,0.0955142709082846,0.12684604920436043,0.1882587173094065,0.22215183869812735,0.25774259446220593,0.2792459632167371,0.2980390735825393,0.3178745910209295,0.33878229859112463,0.35018921027115985,0.36234069843161515,0.36654010978118423,0.3715734467888238,0.36925036816991325,0.3732115150457479,0.3670166387286531,0.4718530071717967
68.8901,-2.21935,4.85186882783159,3.0704249238377854,3.2276794765025008,2.698940826226612,2.2385542968532843,1.9310739934990186,1.7684882732344955,1.673003785385428,1.5453535935822138,1.411210694869737,1.3470282022575282,1.3083400083349022,1.230397742364531,1.1557613959672248,1.0742451628908372,1.0054165130408075,0.9350987102299376,0.8590923431086586,0.7819244366779241,0.7105940098536828,0.6490919925709864,0.5952740045662248,0.527368629551916,0.49666229549939295,0.44064036111258803,4.8482650776663565,0.1430778164775176,-0.5167658604707343,-0.3621322170170975,-0.14426913884618967,-0.008071209047753325,0.07332589179176693,0.11320540808306508,0.14185671104962874,0.20115478195028183,0.23278439083852573,0.266617946108813,0.2855004056522656,0.3032808920046965,0.32135920894929537,0.340688414381,0.35024877638959345,0.36097067770764224,0.36362136997793765,0.3669868556694363,0.36290657655673436,0.36478290928739293,0.3564138696474715,0.44064036111258803
