Sensor Position,Cp for -6.0°,Cp for -5.0°,Cp for -4.0°,Cp for -3.0°,Cp for -2.0°,Cp for -1.0°,Cp for 0.0°,Cp for 1.0°,Cp for 2.0°,Cp for 3.0°,Cp for 4.0°,Cp for 5.0°,Cp for 6.0°,Cp for 7.0°,Cp for 8.0°,Cp for 9.0°,Cp for 9.34°,Cp for 10.0°,Cp for 10.5°,Cp for 11.0°,Cp for 11.5°,Cp for 12.0°,Cp for 12.5°,Cp for 13.0°,Cp for 13.5°,Cp for 14.0°,Cp for 14.5°,Cp for 15.0°,Cp for 15.5°,Cp for 16.0°,Cp for 9.5°
33.10518,-0.2850536597640135,-0.4483541734497397,-0.5971205542376666,-0.7374881123264552,-0.9108553000274605,-1.052443963544138,-1.21112810305126,-1.391792140260382,-1.5659932536194576,-1.7248858745410973,-1.7495164645133925,-1.7652717028390812,-1.8791025551656988,-1.9094514925076203,-1.993499285617436,-2.006484699435962,-1.9881979010768451,-1.9430467833041731,-1.8408313240721081,-1.6958176087454984,-1.499874862158157,-1.1443544842871896,-0.9742038669815988,-0.7692368534515662,-0.9627373891831299,-1.1755075642279647,-1.4658030424141353,-1.6792582278209565,-1.854531531311837,-1.9260108734321622,-0.28451756469811107
37.53128,-0.30736117111739836,-0.4523153203255745,-0.5630785175528618,-0.6733056197142465,-0.8131668657963493,-0.9203858789768372,-1.0368972066329671,-1.1804515520579537,-1.3156666409022355,-1.4579403147808994,-1.454098300141932,-1.4762568961992328,-1.5443707526280592,-1.5583390074007397,-1.6175179460645255,-1.619870807742653,-1.5942871598754196,-1.5363293266395228,-1.4249406851686828,-1.2650354402336719,-1.065518726540314,-1.0243287556434768,-0.8758304223885012,-0.6779219938928509,-0.8577223223846855,-1.058281443150631,-1.3033662374456962,-1.2506800056911733,-1.439385468888832,-1.5214973631495554,-0.3058124520381246
41.95991,-0.35528211339723303,-0.479328555035214,-0.5711795096598319,-0.6617200096789104,-0.7764741368412491,-0.8623089135040729,-0.9544279156616421,-1.0774617332862517,-1.1943304576529836,-1.2217010890732247,-1.2590788283903114,-1.3004772807016665,-1.3574522729834089,-1.3621579963396637,-1.4067730190464334,-1.4030203535851162,-1.365880878741764,-1.29318043119355,-1.1666322125813575,-0.9901973697810216,-0.7907700052653142,-0.9949030931372763,-0.8720479738679674,-0.6821511883016367,-0.8525400700809619,-1.0296897063025012,-1.2279257484495365,-0.9780160985613494,-1.180719599590905,-1.2805821971448428,-0.35319729925205684
46.38793,-0.4141930045280677,-0.5170636910629024,-0.5963461946980296,-0.675926528925325,-0.7721555932548129,-0.84184795182213,-0.915620589502149,-1.0244181048211272,-1.130445795632943,-1.10486214776571,-1.1560592265593927,-1.1970704991009293,-1.2374265443396963,-1.2383200361162003,-1.2710516181954659,-1.2595553573377805,-1.2122300762422815,-1.1320540808306503,-0.9857894770169349,-0.7945226707266313,-0.6157051831889511,-0.9878445081028941,-0.8915856607141895,-0.7137510141306639,-0.8735966929472411,-1.0246265862356447,-1.1694616032069538,-0.7809415957237694,-0.9942180827752898,-1.1145118589519536,-0.41338886192921404
50.8156,-0.395935989228168,-0.49049720224151483,-0.5595938996244958,-0.6258909894410974,-0.7064541646225473,-0.7666159442404876,-0.8369933131697911,-0.9308397327619349,-1.002467990178344,-0.9957072357361298,-1.0350506569615254,-1.0608427862432763,-1.0935743683225418,-1.0869625291764118,-1.1154351337876744,-1.097327033783859,-1.0364504607447154,-0.9446292891793142,-0.7778739406244389,-0.595095306210924,-0.4714062612835446,-0.9327160654925933,-0.8564118677791462,-0.6957322633044986,-0.839286608729485,-0.9639287115518019,-1.0692118258831977,-0.5825864213398672,-0.7885362758240541,-0.9267296705900162,-0.39087286916131164
55.2486,-0.3658550994191978,-0.44936679746311103,-0.5067587525738888,-0.5627509039014769,-0.6328006591793955,-0.6882567154410812,-0.7455295383149917,-0.8243355130026502,-0.8484002248498265,-0.8742221371907938,-0.9053156510131354,-0.9230663543063494,-0.9503178534897234,-0.9421870783235365,-0.9636606640188508,-0.9375111380264984,-0.8652574363665364,-0.7576512434162301,-0.5822885907476991,-0.4378109704869918,-0.37681526521098097,-0.8647511243598509,-0.811737278953943,-0.669016859187027,-0.7919911106932032,-0.8961424687743602,-0.9563042483923005,-0.4321224061765826,-0.598103395191821,-0.7424618832156611,-0.35328664842970725
59.69223,-0.3657657502415474,-0.4494859296999782,-0.49874710964456903,-0.5481869879444606,-0.6118631685499837,-0.6564484081975365,-0.7113088032748861,-0.7946715860227153,-0.7913656664496502,-0.8317217116884171,-0.8481321773168752,-0.8565905661344471,-0.8749369306119971,-0.8619515167934715,-0.8759793376845852,-0.8461367123493495,-0.7592297455547207,-0.6287203800666936,-0.46860665371716526,-0.37237758938767745,-0.35331643148892405,-0.8422649146511652,-0.8028023611889024,-0.6800068080380269,-0.7823413995069592,-0.8674613827485798,-0.8900965077533495,-0.3682079610973251,-0.4800433484564173,-0.617075203912924,-0.3535249129034417
64.13685,-0.3854821354430704,-0.4556808060170731,-0.5009808390858292,-0.5466680519244037,-0.6039408747983143,-0.6432247299052763,-0.696417273666485,-0.7563110057514741,-0.7494609021316095,-0.7852899223694226,-0.8052743551038969,-0.807984613492626,-0.8233824551077126,-0.8101587768154523,-0.81623452089568,-0.7805841990131678,-0.6789941840246557,-0.5431536509368211,-0.41017229153379936,-0.3785724657047723,-0.38315905682415985,-0.8359806891564199,-0.8159069072442953,-0.7155677807428887,-0.796369220398073,-0.8582882005098048,-0.8468515057705527,-0.3758026411976097,-0.42154942015461777,-0.5312999933685337,-0.3830101415280758
68.579,-0.36296614267516797,-0.4295312800247208,-0.4681301247696964,-0.504763287606363,-0.5626913377830433,-0.5991160192051923,-0.6539764142825419,-0.6731864874773793,-0.6916817672510135,-0.7150912517954199,-0.729238204923401,-0.7282255809100296,-0.73930487893868,-0.7220604876521516,-0.7239963865012438,-0.68286598172284,-0.5619467613026232,-0.43045455486044165,-0.3553714625748834,-0.3594517416875853,-0.37928725912597555,-0.7887447572385716,-0.790948703620615,-0.7032971603455662,-0.7695049009845175,-0.8045297786234769,-0.7773080624993197,-0.35876673132559883,-0.3592134772138509,-0.4200602671937777,-0.36231091537239835
73.02401,-0.3359529079655284,-0.4002545328146042,-0.4345348339731436,-0.47087016621764216,-0.5201015631030161,-0.5580749636044389,-0.6124886127935365,-0.5848499338403441,-0.6244911856579077,-0.6421525397734715,-0.6570440693818725,-0.6518618170781489,-0.6564484081975365,-0.6355704836865582,-0.6329495744754796,-0.5853264627878129,-0.4553531923656882,-0.3459004497439403,-0.322014436252065,-0.3517379293504335,-0.37678548215176416,-0.7533326998297939,-0.7656926694047668,-0.6919200317247478,-0.7468697759797479,-0.7608380307524281,-0.7156869129797561,-0.347449168823214,-0.32275901273248503,-0.34199886898653925,-0.3345531041823387
