Run_nr	Time	Alpha	Delta_Pb	P_bar	T	rpm	rho	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	P044	P045	P046	P047	P048	P049	P050	P051	P052	P053	P054	P055	P056	P057	P058	P059	P060	P061	P062	P063	P064	P065	P066	P067	P068	P069	P070	P071	P072	P073	P074	P075	P076	P077	P078	P079	P080	P081	P082	P083	P084	P085	P086	P087	P088	P089	P090	P091	P092	P093	P094	P095	P096	P097	P098	P099	P100	P101	P102	P103	P104	P105	P106	P107	P108	P109	P110	P111	P112	P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	0	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 10:04:32	  -6.000	  173.56	  998.43	   20.09	  999.79	   1.186	 -226.82	  266.26	  350.33	  236.92	  120.88	   74.87	   31.00	    2.87	   -8.18	  -12.01	  -24.32	  -41.68	  -44.63	  -45.52	  -45.33	  -40.50	  -36.26	  -27.47	  -18.23	   -7.68	   -1.44	   -0.20	    6.76	    5.46	   18.49	0	 -815.15	 -824.80	 -524.87	 -302.80	 -249.72	 -211.17	 -176.86	 -150.67	 -139.92	 -124.69	 -114.19	 -101.10	  -88.85	  -78.48	  -69.72	  -58.35	  -48.41	  -35.95	  -24.91	  -11.52	   -0.84	   12.39	   18.49	  394.41	  394.91	  395.76	  364.93	  362.47	  394.89	  400.06	  403.97	  363.56	  393.33	  392.84	  362.75	  360.98	  395.43	  388.55	  400.00	  369.35	  367.59	  366.21	  363.43	  347.76	  322.08	  292.98	  274.42	  278.12	  310.91	  344.32	  364.81	  366.93	  370.67	  373.45	  362.72	  366.53	  370.13	  368.72	  369.27	  371.23	  368.41	  366.86	  366.54	  366.77	  367.80	  369.12	  371.83	  370.09	  370.19	  370.31	  365.79	   15.49	   15.30	   15.79	   15.09	   15.86	   18.16	   18.69	   17.72	   16.69	   17.30	   16.95	   14.76	    1.60	   -1.46	   -2.11	   -1.25
       2	 10:04:59	  -5.000	  173.04	  998.42	   20.18	  999.85	   1.186	 -118.68	  279.90	  334.50	  203.54	   88.57	   45.57	    3.74	  -23.12	  -30.70	  -32.72	  -45.51	  -58.88	  -60.26	  -60.84	  -58.68	  -52.28	  -48.37	  -37.98	  -27.78	  -16.86	  -11.59	  -10.56	   -4.16	   -6.88	   24.86	0	 -716.31	 -673.69	 -308.68	 -262.82	 -218.21	 -184.99	 -154.08	 -130.73	 -122.34	 -109.21	 -100.20	  -88.81	  -77.93	  -68.67	  -60.92	  -50.48	  -41.22	  -29.21	  -18.39	   -5.14	    5.55	   19.33	   24.86	  394.95	  394.79	  395.66	  364.90	  362.60	  394.94	  399.96	  403.97	  363.58	  393.38	  392.83	  362.83	  360.85	  395.29	  388.50	  399.93	  369.38	  367.51	  365.82	  359.63	  336.85	  308.98	  292.27	  300.78	  324.71	  354.64	  367.76	  371.69	  367.80	  370.86	  373.26	  362.69	  366.60	  370.81	  368.62	  369.53	  371.23	  368.32	  366.64	  366.53	  366.77	  367.76	  368.92	  371.88	  370.17	  370.55	  370.39	  365.80	   14.98	   16.15	   16.54	   15.60	   16.07	   19.10	   18.21	   17.55	   16.52	   16.93	   16.52	   15.75	    1.41	   -1.45	   -2.13	   -1.28
       3	 10:05:18	  -4.000	  175.60	  998.41	   20.25	  999.94	   1.185	  -13.54	  286.16	  311.78	  167.91	   55.04	   18.47	  -10.26	  -44.92	  -50.71	  -50.40	  -61.21	  -74.37	  -73.60	  -71.77	  -68.45	  -60.49	  -55.53	  -44.81	  -35.52	  -24.18	  -19.86	  -20.06	  -16.28	   10.04	   28.42	0	 -664.23	 -456.95	 -326.91	 -250.13	 -197.34	 -157.86	 -127.75	 -108.50	 -103.96	  -93.67	  -86.79	  -77.23	  -68.14	  -60.19	  -53.79	  -44.37	  -36.13	  -24.89	  -14.62	   -1.77	    8.81	   22.75	   28.42	  395.45	  395.24	  395.99	  365.10	  362.94	  395.40	  400.50	  404.39	  363.92	  393.83	  393.28	  363.51	  361.41	  395.80	  388.89	  400.32	  369.55	  367.94	  364.97	  352.73	  323.44	  303.88	  309.72	  334.88	  353.70	  368.21	  371.11	  372.38	  368.16	  371.54	  373.79	  363.24	  368.07	  371.65	  370.14	  371.04	  372.75	  369.99	  368.31	  368.03	  368.19	  369.28	  370.17	  373.45	  371.96	  372.01	  371.81	  367.35	   14.62	   16.67	   17.04	   15.96	   16.33	   19.88	   18.41	   17.56	   16.36	   16.68	   16.21	   16.47	    0.82	   -1.46	   -2.14	   -1.21
       4	 10:05:35	  -3.000	  172.32	  998.42	   20.30	  999.47	   1.185	  101.48	  282.33	  278.04	  128.75	   18.27	   -4.33	  -37.00	  -66.50	  -71.16	  -67.31	  -75.58	  -88.32	  -86.01	  -81.20	  -76.93	  -67.86	  -61.09	  -49.90	  -41.69	  -30.94	  -28.63	  -29.48	  -24.61	   23.24	   26.28	0	 -454.27	 -351.75	 -256.05	 -197.89	 -164.04	 -138.75	 -116.19	  -98.15	  -94.57	  -85.47	  -79.92	  -71.81	  -63.98	  -56.53	  -48.72	  -37.55	  -28.62	  -18.02	   -8.90	    2.48	   12.07	   25.52	   26.28	  392.37	  392.34	  393.07	  362.34	  360.07	  392.44	  397.68	  401.64	  361.05	  390.74	  390.45	  360.52	  358.31	  392.99	  385.81	  397.36	  366.76	  364.70	  358.36	  338.44	  312.26	  311.51	  331.37	  351.90	  361.54	  367.79	  368.59	  369.45	  365.41	  368.93	  370.81	  360.15	  365.78	  368.93	  367.80	  368.61	  370.48	  367.66	  366.11	  365.78	  366.02	  367.13	  368.10	  371.08	  370.21	  369.82	  369.54	  364.88	   14.17	   17.11	   17.45	   16.31	   16.57	   20.35	   19.68	   17.71	   16.09	   16.39	   15.91	   17.07	    0.87	   -1.43	   -2.19	   -1.57
       5	 10:05:58	  -2.000	  174.06	  998.42	   20.36	  999.79	   1.185	  214.03	  272.76	  238.56	   89.42	  -11.65	  -36.13	  -62.80	  -89.08	  -91.14	  -84.54	  -91.25	 -101.64	  -98.19	  -91.68	  -85.34	  -76.66	  -68.11	  -57.71	  -49.74	  -40.80	  -38.94	  -42.85	    1.97	   40.50	   25.59	0	 -268.16	 -253.50	 -196.70	 -157.41	 -133.27	 -115.50	  -96.19	  -80.85	  -79.18	  -71.91	  -67.67	  -60.56	  -53.65	  -48.31	  -43.88	  -37.00	  -31.86	  -24.70	  -19.43	  -12.03	   -1.63	   22.71	   25.59	  394.48	  394.07	  395.02	  364.20	  361.90	  394.35	  399.33	  403.53	  362.95	  392.59	  392.29	  362.59	  360.27	  394.91	  387.82	  399.15	  367.37	  361.55	  346.37	  326.67	  319.00	  333.30	  352.55	  363.93	  367.52	  370.32	  370.35	  371.38	  367.27	  370.91	  372.65	  361.98	  366.33	  369.81	  368.27	  369.13	  370.96	  367.77	  366.40	  366.22	  366.50	  367.51	  368.64	  371.51	  370.48	  370.42	  369.95	  365.40	   13.58	   17.00	   17.29	   15.97	   15.44	   19.64	   19.14	   16.80	   15.66	   15.74	   15.22	   17.05	    0.48	   -1.45	   -2.09	   -1.21
       6	 10:06:20	  -1.000	  174.05	  998.39	   20.41	 1000.04	   1.185	  297.56	  246.24	  189.21	   41.03	  -51.26	  -69.23	  -91.40	 -114.67	 -112.51	 -103.47	 -107.64	 -115.95	 -110.79	 -102.53	  -95.36	  -85.69	  -76.80	  -67.46	  -60.06	  -52.99	  -51.70	  -42.17	   22.99	   42.16	   29.55	0	  -95.27	 -154.08	 -137.43	 -116.72	 -102.31	  -90.07	  -74.76	  -62.28	  -62.90	  -57.57	  -54.80	  -48.94	  -43.28	  -38.86	  -35.06	  -28.60	  -23.44	  -16.17	  -11.01	   -4.74	   -2.31	    2.66	   29.55	  394.78	  394.45	  395.53	  364.76	  362.28	  394.80	  399.81	  403.92	  363.41	  393.12	  392.63	  363.17	  360.77	  395.26	  388.11	  398.59	  364.16	  350.32	  328.80	  323.77	  335.19	  351.89	  365.62	  370.23	  369.15	  370.82	  370.91	  371.92	  367.55	  371.37	  373.27	  362.56	  367.20	  369.74	  368.95	  369.97	  371.86	  368.51	  367.42	  367.08	  367.40	  368.39	  369.40	  372.51	  371.41	  371.14	  370.87	  366.31	   13.33	   17.59	   17.85	   16.36	   12.58	   19.83	   19.59	   16.89	   15.58	   15.59	   15.09	   17.81	    0.76	   -1.45	   -2.11	   -1.23
       7	 10:08:08	   0.000	  170.09	  998.41	   20.67	  999.92	   1.184	  334.98	  199.31	  125.47	   -7.43	  -95.71	 -103.20	 -119.29	 -139.07	 -132.94	 -122.84	 -122.81	 -129.43	 -121.87	 -112.80	 -101.92	  -94.05	  -86.50	  -77.62	  -71.23	  -65.50	  -65.20	   -6.18	   27.95	   36.95	   36.04	0	   51.66	  -60.95	  -76.69	  -75.15	  -71.63	  -65.55	  -52.82	  -43.25	  -46.26	  -42.76	  -41.51	  -37.17	  -32.70	  -29.24	  -26.38	  -20.82	  -16.08	   -8.87	   -3.24	    3.49	    6.54	   11.17	   36.04	  389.02	  388.85	  389.60	  358.58	  356.77	  388.85	  394.12	  398.32	  357.66	  387.48	  387.12	  357.24	  354.59	  389.45	  378.17	  379.74	  334.45	  322.22	  325.08	  336.37	  348.40	  358.81	  365.75	  365.13	  363.61	  365.17	  365.32	  366.09	  362.28	  365.80	  367.38	  356.83	  361.90	  365.59	  363.55	  364.02	  366.46	  362.99	  362.21	  361.52	  362.29	  363.25	  364.41	  367.10	  366.17	  365.89	  365.49	  361.09	   12.85	   17.95	   18.18	   15.43	   13.35	   19.90	   20.13	   16.92	   15.22	   15.15	   14.66	   18.35	    0.59	   -1.47	   -2.13	   -1.28
       8	 10:08:24	   1.000	  172.97	  998.38	   20.70	 1000.09	   1.184	  348.55	  130.28	   45.77	  -77.21	 -150.54	 -151.87	 -160.94	 -173.61	 -164.69	 -150.88	 -150.92	 -153.00	 -144.22	 -134.39	 -121.73	 -112.38	 -104.64	  -97.56	  -92.72	  -88.41	  -42.02	   -4.69	   15.44	   24.29	   33.32	0	  188.88	   37.17	  -11.30	  -28.44	  -35.22	  -33.93	  -26.79	  -20.07	  -25.24	  -23.68	  -24.13	  -20.86	  -17.58	  -15.09	  -12.99	   -8.07	   -3.79	    3.03	    8.64	   15.78	   19.18	   23.87	   33.32	  394.67	  393.97	  395.26	  363.97	  362.10	  394.55	  399.53	  403.76	  363.11	  393.53	  392.52	  362.88	  360.08	  394.30	  376.96	  365.43	  318.03	  317.94	  336.32	  354.90	  363.81	  368.55	  372.50	  370.72	  369.24	  370.66	  370.74	  371.37	  367.45	  371.11	  372.58	  362.27	  367.71	  369.95	  369.26	  369.82	  372.40	  368.76	  367.81	  366.95	  368.03	  368.92	  369.95	  373.11	  371.94	  371.73	  371.47	  366.77	   10.89	   17.57	   17.77	   15.45	   14.48	   18.81	   19.75	   15.71	   13.59	   13.37	   12.90	   18.29	    0.26	   -1.48	   -2.23	   -1.40
       9	 10:08:39	   2.000	  173.60	  998.39	   20.74	 1000.27	   1.183	  335.02	   51.36	  -30.53	 -142.10	 -200.49	 -189.06	 -191.78	 -200.23	 -187.89	 -170.15	 -167.46	 -168.21	 -157.18	 -145.90	 -132.41	 -124.29	 -116.76	 -111.54	 -107.18	  -80.19	  -23.11	   -5.67	   10.65	   21.86	   35.82	0	  274.50	  109.73	   40.35	    9.02	   -3.95	   -8.69	   -4.72	   -0.66	   -7.89	   -7.96	   -9.95	   -8.10	   -6.05	   -4.70	   -3.67	    0.20	    3.54	    9.81	   15.27	   22.78	   27.18	   33.22	   35.82	  394.47	  393.83	  395.33	  363.99	  362.11	  394.69	  399.46	  403.72	  363.18	  393.60	  392.54	  362.87	  359.99	  389.54	  357.15	  344.09	  317.50	  335.27	  355.52	  364.45	  365.62	  368.78	  372.59	  370.71	  369.23	  370.69	  370.55	  371.36	  367.25	  371.27	  372.39	  362.32	  366.44	  369.77	  368.05	  368.57	  371.10	  367.67	  366.83	  365.80	  366.90	  367.77	  368.77	  371.96	  371.00	  370.45	  370.23	  365.50	   10.24	   17.87	   17.98	   15.59	   14.86	   18.34	   19.28	   15.03	   13.10	   12.73	   12.24	   18.74	    0.35	   -1.47	   -2.13	   -1.23
      10	 10:08:56	   3.000	  170.80	  998.37	   20.77	  999.82	   1.183	  263.69	  -35.97	 -119.32	 -206.35	 -247.62	 -226.07	 -222.18	 -226.95	 -210.15	 -188.95	 -184.06	 -183.55	 -169.48	 -158.10	 -143.44	 -137.13	 -132.07	 -127.36	 -113.56	  -47.05	  -22.89	  -11.54	    6.91	   19.85	   40.65	0	  326.32	  170.69	   86.31	   42.82	   22.14	   13.18	   14.51	   16.58	    7.09	    5.34	    2.03	    2.50	    3.32	    3.65	    3.36	    6.07	    8.34	   13.63	   18.18	   25.22	   29.70	   36.68	   40.65	  391.50	  390.81	  392.17	  360.79	  359.08	  391.45	  396.44	  400.67	  360.11	  390.38	  389.46	  359.57	  351.82	  362.51	  329.08	  344.08	  336.21	  353.20	  362.12	  362.93	  362.77	  365.57	  369.58	  367.63	  366.07	  367.53	  367.42	  368.22	  364.40	  368.08	  369.24	  359.14	  363.86	  367.51	  365.51	  366.11	  368.52	  365.09	  364.30	  363.32	  364.42	  365.28	  366.40	  369.25	  368.40	  367.97	  367.68	  363.25	    9.49	   18.01	   18.04	   15.46	   14.93	   18.07	   19.19	   14.71	   12.53	   12.04	   11.56	   19.08	    0.12	   -1.46	   -2.13	   -1.21
      11	 10:09:12	   4.000	  173.13	  998.36	   20.80	  999.84	   1.183	  129.56	 -143.77	 -222.28	 -282.91	 -305.83	 -273.03	 -260.71	 -259.26	 -237.20	 -212.47	 -205.44	 -202.78	 -188.93	 -174.63	 -161.27	 -155.47	 -153.20	 -139.23	  -73.90	  -45.31	  -32.20	  -17.11	    4.11	   19.17	   43.13	0	  354.69	  230.88	  131.24	   75.55	   50.60	   37.27	   35.42	   35.16	   23.55	   20.03	   15.17	   14.55	   14.11	   13.31	   11.99	   13.65	   14.99	   19.37	   23.01	   29.40	   33.48	   40.65	   43.13	  397.34	  396.45	  398.14	  366.82	  364.66	  397.36	  402.28	  406.47	  365.69	  396.20	  395.08	  359.13	  331.00	  339.92	  337.64	  372.89	  363.57	  368.82	  369.29	  368.72	  368.52	  371.68	  375.49	  373.47	  371.80	  373.29	  373.30	  373.80	  369.91	  374.00	  375.20	  365.09	  368.72	  373.20	  370.80	  371.18	  373.91	  370.48	  369.25	  368.39	  369.45	  370.40	  371.30	  374.59	  373.33	  373.19	  372.89	  368.39	    8.77	   18.42	   18.41	   15.69	   15.13	   17.91	   19.27	   14.47	   12.02	   11.47	   11.04	   19.63	    0.29	   -1.42	   -2.07	   -1.27
      12	 10:09:25	   5.000	  171.88	  998.36	   20.83	 1000.23	   1.183	  -62.36	 -259.74	 -327.34	 -353.95	 -353.37	 -309.03	 -289.53	 -282.66	 -257.40	 -231.09	 -220.41	 -215.97	 -201.16	 -187.38	 -175.72	 -171.35	 -155.16	  -97.79	  -69.51	  -53.50	  -38.03	  -20.99	    1.67	   17.55	   43.11	0	  351.45	  271.74	  170.93	  106.80	   75.16	   59.50	   55.79	   53.51	   40.20	   35.25	   29.10	   27.05	   25.71	   23.90	   21.56	   22.25	   22.72	   26.01	   28.69	   34.13	   37.56	   44.03	   43.11	  392.03	  391.41	  392.82	  361.57	  359.54	  392.00	  397.09	  401.25	  360.64	  390.88	  383.79	  325.46	  297.98	  338.38	  357.21	  389.51	  366.12	  364.65	  364.23	  363.57	  363.56	  366.23	  370.18	  368.19	  366.49	  368.16	  368.18	  368.83	  364.74	  368.78	  369.86	  359.75	  364.44	  368.03	  366.16	  366.63	  369.18	  365.67	  364.94	  363.79	  364.98	  365.94	  366.95	  369.86	  368.88	  368.56	  368.15	  363.83	    8.01	   18.47	   18.28	   15.50	   14.97	   17.63	   19.16	   14.21	   11.44	   10.69	   10.30	   19.91	    0.11	   -1.49	   -2.16	   -1.36
      13	 10:09:38	   6.000	  167.93	  998.38	   20.85	 1000.49	   1.183	 -315.95	 -399.35	 -438.49	 -426.96	 -406.65	 -348.15	 -320.46	 -307.43	 -281.03	 -250.32	 -238.83	 -233.83	 -219.58	 -205.65	 -189.92	 -151.69	 -120.74	 -102.73	  -82.10	  -62.57	  -44.60	  -26.56	   -2.44	   13.81	   38.96	0	  330.04	  298.14	  201.23	  131.94	   96.72	   78.32	   72.12	   67.97	   53.18	   46.93	   39.50	   36.46	   34.07	   31.37	   28.04	   27.89	   27.43	   29.80	   31.57	   36.13	   38.75	   44.71	   38.96	  384.10	  383.75	  384.94	  353.54	  351.38	  383.76	  388.91	  392.93	  352.71	  382.30	  343.85	  284.83	  291.85	  357.40	  373.05	  388.42	  358.86	  356.79	  356.17	  355.88	  355.79	  358.38	  362.24	  360.08	  358.33	  359.95	  360.13	  360.85	  356.58	  360.62	  362.12	  351.65	  356.63	  361.17	  357.88	  358.23	  360.69	  356.87	  356.16	  355.45	  356.38	  357.42	  358.60	  361.31	  360.26	  360.14	  359.31	  355.84	    6.19	   17.54	   16.92	   14.60	   13.87	   16.43	   18.30	   13.00	    9.74	    8.94	    8.61	   19.18	   -0.59	   -1.42	   -2.21	   -1.52
      14	 10:09:49	   7.000	  170.97	  998.40	   20.88	  999.74	   1.183	 -621.41	 -544.47	 -567.40	 -514.28	 -467.31	 -396.35	 -361.77	 -343.96	 -312.54	 -276.78	 -266.82	 -253.94	 -226.03	 -196.37	 -173.09	 -156.04	 -136.08	 -113.96	  -90.53	  -67.60	  -47.32	  -28.59	   -3.39	   13.42	   38.28	0	  299.62	  330.19	  236.72	  163.10	  122.96	  101.34	   92.91	   86.82	   70.33	   62.52	   53.88	   49.53	   46.14	   42.36	   38.13	   37.01	   35.71	   37.27	   38.21	   41.93	   43.82	   49.10	   38.28	  391.86	  391.28	  392.62	  361.43	  359.40	  391.86	  396.94	  401.20	  360.43	  381.58	  316.37	  294.10	  326.24	  387.05	  385.19	  396.87	  366.76	  364.55	  364.07	  363.45	  363.41	  366.09	  369.97	  368.02	  366.47	  368.18	  367.94	  368.85	  364.62	  368.57	  369.62	  359.44	  363.91	  367.27	  364.97	  365.36	  367.87	  364.38	  363.83	  362.42	  363.70	  364.63	  365.75	  368.68	  367.61	  367.33	  366.74	  363.05	    5.99	   18.17	   17.08	   15.09	   13.85	   16.05	   17.75	   12.30	    9.69	    8.65	    8.33	   19.92	   -0.44	   -1.46	   -2.10	   -1.22
      15	 10:10:03	   8.000	  172.30	  998.40	   20.90	 1000.31	   1.183	 -962.14	 -696.51	 -697.17	 -596.77	 -525.80	 -441.75	 -401.01	 -379.56	 -336.59	 -284.86	 -265.71	 -251.64	 -232.24	 -209.68	 -187.42	 -165.84	 -144.14	 -119.97	  -95.09	  -71.33	  -50.13	  -31.57	   -5.80	    9.86	   33.52	0	  240.54	  342.10	  263.41	  188.07	  144.00	  118.78	  108.99	  101.30	   83.42	   74.15	   64.47	   59.10	   54.70	   50.00	   44.85	   42.94	   40.79	   41.33	   41.47	   44.40	   45.43	   49.99	   33.52	  391.36	  390.68	  392.02	  361.01	  358.91	  391.25	  396.21	  400.47	  358.80	  345.80	  314.86	  318.97	  346.77	  391.74	  384.96	  396.28	  366.12	  364.03	  363.51	  363.02	  362.75	  365.56	  369.50	  367.61	  365.85	  367.50	  367.53	  368.08	  363.90	  368.05	  369.15	  359.01	  364.15	  366.56	  365.27	  365.66	  368.12	  364.60	  363.85	  362.57	  363.85	  364.78	  365.91	  368.96	  367.86	  367.65	  367.22	  363.49	    4.01	   16.97	   15.67	   13.87	   12.44	   14.58	   16.49	   10.82	    7.91	    6.69	    6.43	   18.91	   -1.18	   -1.45	   -2.14	   -1.27
      16	 10:10:17	   9.000	  170.47	  998.38	   20.93	  999.73	   1.183	-1307.87	 -828.90	 -822.15	 -671.77	 -579.15	 -489.52	 -410.20	 -370.97	 -334.32	 -293.53	 -279.26	 -263.67	 -240.10	 -215.61	 -190.03	 -168.09	 -144.26	 -119.57	  -94.01	  -69.64	  -48.28	  -30.43	   -6.43	    7.75	   29.45	0	  162.86	  343.46	  282.74	  209.17	  162.80	  136.77	  124.87	  115.86	   96.63	   86.53	   75.81	   69.57	   64.35	   58.76	   52.86	   50.12	   47.05	   46.71	   46.08	   48.08	   48.03	   51.70	   29.45	  388.12	  387.62	  388.83	  358.24	  355.79	  388.00	  393.00	  397.24	  340.89	  308.31	  333.29	  337.05	  351.29	  389.30	  381.60	  392.88	  362.91	  360.78	  360.35	  360.05	  359.72	  362.40	  366.16	  364.29	  362.65	  364.31	  364.05	  364.86	  360.74	  364.69	  366.05	  355.69	  361.31	  364.44	  362.20	  362.46	  364.99	  361.34	  360.82	  359.52	  360.76	  361.80	  362.88	  365.69	  364.78	  364.56	  364.07	  360.29	    3.90	   17.12	   15.74	   14.42	   12.80	   14.78	   16.89	   10.90	    7.85	    6.58	    6.40	   19.56	   -0.27	   -1.41	   -2.10	   -1.34
      17	 10:10:31	   9.340	  172.48	  998.37	   20.95	  999.82	   1.183	-1415.10	 -853.15	 -887.02	 -723.33	 -587.42	 -488.23	 -422.75	 -388.16	 -347.53	 -303.97	 -284.77	 -270.38	 -244.85	 -220.61	 -193.32	 -170.72	 -146.21	 -120.25	  -94.49	  -70.00	  -48.70	  -31.38	   -7.54	    5.44	   26.16	0	  143.57	  348.21	  292.19	  217.16	  171.36	  142.42	  130.50	  121.03	  101.16	   90.61	   79.41	   72.80	   67.29	   61.30	   55.04	   51.97	   48.58	   47.93	   46.97	   48.66	   48.28	   51.56	   26.16	  392.77	  392.03	  393.50	  362.75	  360.18	  392.53	  397.49	  401.28	  336.07	  306.17	  341.52	  344.17	  356.31	  393.89	  386.25	  397.52	  367.50	  365.37	  364.89	  364.36	  363.96	  367.04	  370.78	  368.77	  367.30	  368.69	  368.80	  369.23	  365.25	  369.27	  370.29	  360.32	  366.36	  367.41	  367.59	  367.85	  370.33	  367.06	  366.32	  364.90	  366.46	  367.04	  368.17	  371.38	  370.24	  369.90	  370.10	  365.91	    3.73	   16.88	   15.52	   14.38	   12.66	   14.48	   16.42	   10.43	    7.79	    6.38	    6.20	   19.78	   -0.74	   -1.48	   -2.13	   -1.21
      18	 10:10:53	  10.000	  169.34	  998.39	   20.99	  999.76	   1.182	-1569.76	 -882.99	-1002.27	 -729.95	 -592.71	 -495.67	 -436.65	 -401.93	 -356.19	 -309.93	 -287.61	 -271.29	 -244.51	 -218.87	 -189.94	 -166.23	 -141.76	 -115.89	  -90.10	  -66.07	  -46.49	  -32.10	  -11.80	   -2.39	   13.15	0	   93.49	  344.39	  299.75	  226.29	  180.35	  150.16	  137.22	  126.97	  106.47	   95.22	   83.45	   76.23	   70.09	   63.50	   56.58	   52.87	   48.79	   47.44	   45.71	   46.58	   45.36	   47.48	   13.15	  389.30	  388.72	  390.11	  359.28	  356.81	  389.14	  394.15	  394.47	  309.66	  296.06	  344.77	  343.08	  352.89	  390.53	  382.81	  394.03	  364.07	  362.01	  361.58	  361.14	  360.83	  363.39	  367.41	  365.41	  363.70	  365.44	  365.35	  366.02	  361.87	  365.95	  366.96	  356.93	  362.32	  365.28	  363.73	  364.06	  366.33	  362.87	  362.38	  360.99	  362.38	  363.31	  364.41	  367.34	  366.42	  365.83	  366.29	  361.73	    2.64	   15.22	   13.79	   13.48	   11.92	   13.60	   15.63	    9.57	    6.73	    5.31	    5.12	   18.99	   -1.34	   -1.47	   -2.14	   -1.24
      19	 10:11:05	  10.500	  173.48	  998.37	   21.01	  999.51	   1.182	-1721.17	 -970.12	-1138.11	 -706.80	 -630.93	 -518.54	 -455.78	 -415.48	 -367.18	 -319.08	 -293.77	 -276.46	 -248.23	 -220.41	 -191.49	 -165.89	 -140.40	 -114.46	  -88.12	  -65.07	  -46.38	  -34.35	  -15.05	   -7.77	    6.13	0	   57.21	  347.49	  310.35	  236.75	  189.91	  158.58	  144.99	  133.79	  112.60	  100.69	   88.23	   80.37	   73.73	   66.58	   59.14	   54.96	   50.33	   48.46	   46.26	   46.58	   44.79	   46.33	    6.13	  394.22	  393.46	  395.10	  364.11	  361.63	  394.08	  398.95	  393.68	  302.22	  294.03	  341.28	  340.83	  354.75	  394.60	  387.69	  399.08	  369.07	  366.99	  366.34	  365.77	  365.51	  368.37	  372.32	  370.47	  368.71	  370.16	  370.27	  370.77	  366.71	  370.86	  372.30	  361.86	  366.77	  370.02	  368.39	  368.67	  371.03	  367.77	  366.89	  365.74	  367.12	  367.88	  368.88	  372.17	  370.84	  370.70	  370.92	  366.52	    2.15	   14.32	   13.13	   13.21	   11.69	   13.29	   15.38	    9.18	    6.32	    4.80	    4.58	   18.88	   -1.70	   -1.47	   -2.13	   -1.22
      20	 10:11:20	  11.000	  169.65	  998.34	   21.02	 1000.20	   1.182	-1614.27	-1114.76	-1207.62	 -744.82	 -641.12	 -523.23	 -457.36	 -415.78	 -364.96	 -316.35	 -289.41	 -272.02	 -242.44	 -213.40	 -183.42	 -158.68	 -133.41	 -107.95	  -82.00	  -60.58	  -44.05	  -34.09	  -18.03	  -13.16	   -1.49	0	    7.90	  340.54	  313.26	  241.97	  195.17	  163.34	  149.71	  138.24	  116.75	  104.45	   91.73	   83.52	   76.54	   68.98	   61.23	   56.59	   51.62	   49.28	   46.56	   46.34	   43.92	   44.78	   -1.49	  389.39	  388.83	  390.32	  359.61	  357.09	  389.39	  394.06	  381.08	  285.01	  287.64	  338.23	  337.32	  350.32	  390.17	  382.95	  394.10	  364.35	  362.17	  361.63	  361.39	  360.97	  363.46	  367.60	  365.60	  364.02	  365.69	  365.67	  366.26	  361.95	  366.05	  367.64	  357.02	  362.47	  365.42	  363.75	  364.26	  366.43	  363.00	  362.48	  361.22	  363.03	  363.47	  364.43	  367.52	  366.48	  366.13	  366.38	  361.95	    2.23	   13.85	   12.83	   13.45	   12.16	   13.67	   15.86	    9.54	    6.45	    4.95	    4.76	   19.12	   -1.27	   -1.46	   -2.14	   -1.27
